venue,venue_name,label,type,window_end_year,publication_years,papers_in_window,h5_index,h5_median
IST,Information and Software Technology,IST,journal,2020,"[2016, 2017, 2018, 2019, 2020]",664,80,110.5
IST,Information and Software Technology,IST,journal,2021,"[2017, 2018, 2019, 2020, 2021]",823,76,103.5
IST,Information and Software Technology,IST,journal,2022,"[2018, 2019, 2020, 2021, 2022]",901,66,100.0
IST,Information and Software Technology,IST,journal,2023,"[2019, 2020, 2021, 2022, 2023]",977,65,99.0
IST,Information and Software Technology,IST,journal,2024,"[2020, 2021, 2022, 2023, 2024]",1035,57,95.0
IST,Information and Software Technology,IST,journal,2025,"[2021, 2022, 2023, 2024, 2025]",1131,50,84.0
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2015,"[2011, 2012, 2013, 2014, 2015]",33,21,55.0
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2016,"[2012, 2013, 2014, 2015, 2016]",52,28,63.5
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2017,"[2013, 2014, 2015, 2016, 2017]",66,32,61.5
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2018,"[2014, 2015, 2016, 2017, 2018]",96,39,70.0
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2019,"[2015, 2016, 2017, 2018, 2019]",106,40,67.5
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2020,"[2016, 2017, 2018, 2019, 2020]",134,41,70.0
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2021,"[2017, 2018, 2019, 2020, 2021]",186,47,75.0
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2022,"[2018, 2019, 2020, 2021, 2022]",330,54,94.0
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2023,"[2019, 2020, 2021, 2022, 2023]",485,58,98.5
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2024,"[2020, 2021, 2022, 2023, 2024]",785,64,102.0
ACM TOSEM,ACM Transactions on Software Engineering and Methodology,TOSEM,journal,2025,"[2021, 2022, 2023, 2024, 2025]",1034,64,100.5
Springer EMSE,Empirical Software Engineering,EMSE,journal,2015,"[2011, 2012, 2013, 2014, 2015]",378,80,121.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2016,"[2012, 2013, 2014, 2015, 2016]",435,83,126.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2017,"[2013, 2014, 2015, 2016, 2017]",512,86,141.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2018,"[2014, 2015, 2016, 2017, 2018]",571,85,134.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2019,"[2015, 2016, 2017, 2018, 2019]",603,80,130.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2020,"[2016, 2017, 2018, 2019, 2020]",642,77,126.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2021,"[2017, 2018, 2019, 2020, 2021]",723,76,111.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2022,"[2018, 2019, 2020, 2021, 2022]",773,69,98.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2023,"[2019, 2020, 2021, 2022, 2023]",783,59,94.0
Springer EMSE,Empirical Software Engineering,EMSE,journal,2024,"[2020, 2021, 2022, 2023, 2024]",810,52,80.5
Springer EMSE,Empirical Software Engineering,EMSE,journal,2025,"[2021, 2022, 2023, 2024, 2025]",831,43,57.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2015,"[2011, 2012, 2013, 2014, 2015]",510,75,130.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2016,"[2012, 2013, 2014, 2015, 2016]",493,73,141.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2017,"[2013, 2014, 2015, 2016, 2017]",580,77,146.0
